"Student","ID","SIS User ID","SIS Login ID","Section","Assignment 06","Current Score","Final Score","Unposted Final Score","Current Grade","Final Grade","Assignment 12","Assignment 13","Assignment 14","Assignment 15","Assignment 16","Assignment 17","Assignment 18","Assignment 19","Assignment 20","Assignment 21","Assignment 22","Assignment 23","Assignment 24","Assignment 25","Assignment 26","Assignment 27","Assignment 28","Assignment 29","Assignment 30","Assignment 31","Assignment 32","Assignment 33","Assignment 34","Assignment 35","Assignment 36","Assignment 37","Assignment 38","Assignment 39"
"Synthetic Student 019","SYN-ID-000019","SYN000019","synthetic019","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,,,,,,10,,,,,,,,,,,
"Synthetic Student 020","SYN-ID-000020","SYN000020","synthetic020","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 021","SYN-ID-000021","SYN000021","synthetic021","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 022","SYN-ID-000022","SYN000022","synthetic022","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 023","SYN-ID-000023","SYN000023","synthetic023","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 024","SYN-ID-000024","SYN000024","synthetic024","Section A","Needs Review","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 025","SYN-ID-000025","SYN000025","synthetic025","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 026","SYN-ID-000026","SYN000026","synthetic026","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 027","SYN-ID-000027","SYN000027","synthetic027","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 028","SYN-ID-000028","SYN000028","synthetic028","Section A","Submitted","",28.4,28.4,"F","F",100,,,,,,10,,,,10,,,,,10,,,,,12,,,,,,,
"Synthetic Student 029","SYN-ID-000029","SYN000029","synthetic029","Section A","Needs Review","",10,10,"F","F",,,,,,,,,,10,,,,,,,,,,,,,,,,,,
"Synthetic Student 030","SYN-ID-000030","SYN000030","synthetic030","Section A","Needs Review","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 031","SYN-ID-000031","SYN000031","synthetic031","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 032","SYN-ID-000032","SYN000032","synthetic032","Section A","Needs Review","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 033","SYN-ID-000033","SYN000033","synthetic033","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 034","SYN-ID-000034","SYN000034","synthetic034","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,,,,,10,,,,,,,,,,,,
"Synthetic Student 035","SYN-ID-000035","SYN000035","synthetic035","Section A","Submitted","",40,40,"F","F",,,,100,,,,,,,,,10,,,,,,,,,,,10,,,,
"Synthetic Student 036","SYN-ID-000036","SYN000036","synthetic036","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,,10,,,,,,,,,10
"Synthetic Student 037","SYN-ID-000037","SYN000037","synthetic037","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 038","SYN-ID-000038","SYN000038","synthetic038","Section A","Needs Review","",55,55,"F","F",100,,,,,,,,,,,,,,,,,,,,,,,,10,,,
"Synthetic Student 039","SYN-ID-000039","SYN000039","synthetic039","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 040","SYN-ID-000040","SYN000040","synthetic040","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 041","SYN-ID-000041","SYN000041","synthetic041","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 042","SYN-ID-000042","SYN000042","synthetic042","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 043","SYN-ID-000043","SYN000043","synthetic043","Section A","Submitted","",15,15,"F","F",,,,,20,,,,,,,,,,,,10,,,,,,,,,,,
"Synthetic Student 044","SYN-ID-000044","SYN000044","synthetic044","Section A","Needs Review","",10,10,"F","F",,,,,,,,,,,,,,,,,,10,10,,,,,,,,,
"Synthetic Student 045","SYN-ID-000045","SYN000045","synthetic045","Section A","Submitted","",10,10,"F","F",,,,,,,,,,10,10,,,,,,,,,,,,,,,,,10
"Synthetic Student 046","SYN-ID-000046","SYN000046","synthetic046","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 047","SYN-ID-000047","SYN000047","synthetic047","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 048","SYN-ID-000048","SYN000048","synthetic048","Section A","Complete","",11,11,"F","F",,,,,,,,,,,,,,,,,,,,10,,,12,,,,,
"Synthetic Student 049","SYN-ID-000049","SYN000049","synthetic049","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 050","SYN-ID-000050","SYN000050","synthetic050","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,10,,,,,,,,,,,,,10,,,
"Synthetic Student 051","SYN-ID-000051","SYN000051","synthetic051","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 052","SYN-ID-000052","SYN000052","synthetic052","Section A","Complete","",100,100,"A","A",,,,100,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 053","SYN-ID-000053","SYN000053","synthetic053","Section A","Complete","",37.33,37.33,"F","F",,,,100,,2,,,,,,,,,,,,,,,,,,,,10,,
"Synthetic Student 054","SYN-ID-000054","SYN000054","synthetic054","Section A","Submitted","",12,12,"F","F",,,,,,,,,,,,,,,,,,,,,,,12,,,,,
"Synthetic Student 055","SYN-ID-000055","SYN000055","synthetic055","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 056","SYN-ID-000056","SYN000056","synthetic056","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 057","SYN-ID-000057","SYN000057","synthetic057","Section A","Complete","",100,100,"A","A",,,100,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 058","SYN-ID-000058","SYN000058","synthetic058","Section A","Complete","",30.5,30.5,"F","F",,,,100,,2,,,,10,,,,,,,,,,,,,,,,,,10
"Synthetic Student 059","SYN-ID-000059","SYN000059","synthetic059","Section A","Submitted","",25,25,"F","F",,100,,,,,10,,,,,,,,,,,10,,,,,,10,10,10,,
"Synthetic Student 060","SYN-ID-000060","SYN000060","synthetic060","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 061","SYN-ID-000061","SYN000061","synthetic061","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 062","SYN-ID-000062","SYN000062","synthetic062","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,10,,,,,,,,,,,,,,,,
"Synthetic Student 063","SYN-ID-000063","SYN000063","synthetic063","Section A","Complete","",10,10,"F","F",,,,,,,10,,,,,,,,,,,,,10,,,,,,,,
"Synthetic Student 064","SYN-ID-000064","SYN000064","synthetic064","Section A","Needs Review","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 065","SYN-ID-000065","SYN000065","synthetic065","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,10,,,,,,,,,,
"Synthetic Student 066","SYN-ID-000066","SYN000066","synthetic066","Section A","Complete","",10.67,10.67,"F","F",,,,,,,,,,,,,,,10,10,,,,,,,12,,,,,
"Synthetic Student 067","SYN-ID-000067","SYN000067","synthetic067","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 068","SYN-ID-000068","SYN000068","synthetic068","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,,,10,,
"Synthetic Student 069","SYN-ID-000069","SYN000069","synthetic069","Section A","Needs Review","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 070","SYN-ID-000070","SYN000070","synthetic070","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 071","SYN-ID-000071","SYN000071","synthetic071","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,,,10,,
"Synthetic Student 072","SYN-ID-000072","SYN000072","synthetic072","Section A","Complete","",21.5,21.5,"F","F",100,,,,20,2,,,10,,,,,,10,,,,,,,10,,,,,10,10
"Synthetic Student 073","SYN-ID-000073","SYN000073","synthetic073","Section A","Needs Review","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 074","SYN-ID-000074","SYN000074","synthetic074","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 075","SYN-ID-000075","SYN000075","synthetic075","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 076","SYN-ID-000076","SYN000076","synthetic076","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 077","SYN-ID-000077","SYN000077","synthetic077","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 078","SYN-ID-000078","SYN000078","synthetic078","Section A","Complete","",10,10,"F","F",,,,,,,,10,,,10,,,,,,,,,,,,,,,,,
"Synthetic Student 079","SYN-ID-000079","SYN000079","synthetic079","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 080","SYN-ID-000080","SYN000080","synthetic080","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 081","SYN-ID-000081","SYN000081","synthetic081","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 082","SYN-ID-000082","SYN000082","synthetic082","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 083","SYN-ID-000083","SYN000083","synthetic083","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 084","SYN-ID-000084","SYN000084","synthetic084","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 085","SYN-ID-000085","SYN000085","synthetic085","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 086","SYN-ID-000086","SYN000086","synthetic086","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 087","SYN-ID-000087","SYN000087","synthetic087","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 088","SYN-ID-000088","SYN000088","synthetic088","Section A","Needs Review","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 089","SYN-ID-000089","SYN000089","synthetic089","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 090","SYN-ID-000090","SYN000090","synthetic090","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 091","SYN-ID-000091","SYN000091","synthetic091","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,10,,,,,,,,,,,
"Synthetic Student 092","SYN-ID-000092","SYN000092","synthetic092","Section A","Submitted","",10,10,"F","F",,,,,,,,10,,,10,,,,,,10,,,,,,,,,,,
"Synthetic Student 093","SYN-ID-000093","SYN000093","synthetic093","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,10,,,,,,,,,,
"Synthetic Student 094","SYN-ID-000094","SYN000094","synthetic094","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 095","SYN-ID-000095","SYN000095","synthetic095","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 096","SYN-ID-000096","SYN000096","synthetic096","Section A","Submitted","",2,2,"F","F",,,,,,2,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 097","SYN-ID-000097","SYN000097","synthetic097","Section A","Submitted","",10.29,10.29,"F","F",,,,,,,10,,,10,,,,,10,,,10,,,,10,12,10,,,,
"Synthetic Student 098","SYN-ID-000098","SYN000098","synthetic098","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 099","SYN-ID-000099","SYN000099","synthetic099","Section A","Complete","",10,10,"F","F",,,,,,,10,,,10,,,,,,,,,,10,,,,,,,,
"Synthetic Student 100","SYN-ID-000100","SYN000100","synthetic100","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,10,,,,,,,,,,,,,
"Synthetic Student 101","SYN-ID-000101","SYN000101","synthetic101","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 102","SYN-ID-000102","SYN000102","synthetic102","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 103","SYN-ID-000103","SYN000103","synthetic103","Section A","Complete","",70,70,"C-","C-",100,,100,,,,,,,,,,10,,,,,,,,,,,,,,,
"Synthetic Student 104","SYN-ID-000104","SYN000104","synthetic104","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,,,,10,
"Synthetic Student 105","SYN-ID-000105","SYN000105","synthetic105","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 106","SYN-ID-000106","SYN000106","synthetic106","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,,,,,,,10,,,,,,,,,,
"Synthetic Student 107","SYN-ID-000107","SYN000107","synthetic107","Section A","Needs Review","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 108","SYN-ID-000108","SYN000108","synthetic108","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 109","SYN-ID-000109","SYN000109","synthetic109","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 110","SYN-ID-000110","SYN000110","synthetic110","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 111","SYN-ID-000111","SYN000111","synthetic111","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 112","SYN-ID-000112","SYN000112","synthetic112","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,,,,,10
"Synthetic Student 113","SYN-ID-000113","SYN000113","synthetic113","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 114","SYN-ID-000114","SYN000114","synthetic114","Section A","Complete","",8,8,"F","F",,,,,,2,,,,10,,,,,,,,,,,12,,,,,,,
"Synthetic Student 115","SYN-ID-000115","SYN000115","synthetic115","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 116","SYN-ID-000116","SYN000116","synthetic116","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 117","SYN-ID-000117","SYN000117","synthetic117","Section A","Submitted","",10,10,"F","F",,,,,,,,,10,,,,,,,,,,,,,,,,,,,10
"Synthetic Student 118","SYN-ID-000118","SYN000118","synthetic118","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 119","SYN-ID-000119","SYN000119","synthetic119","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 120","SYN-ID-000120","SYN000120","synthetic120","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 121","SYN-ID-000121","SYN000121","synthetic121","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 122","SYN-ID-000122","SYN000122","synthetic122","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 123","SYN-ID-000123","SYN000123","synthetic123","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 124","SYN-ID-000124","SYN000124","synthetic124","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 125","SYN-ID-000125","SYN000125","synthetic125","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 126","SYN-ID-000126","SYN000126","synthetic126","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 127","SYN-ID-000127","SYN000127","synthetic127","Section A","Needs Review","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 128","SYN-ID-000128","SYN000128","synthetic128","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,,10,,,10,,,,,,
"Synthetic Student 129","SYN-ID-000129","SYN000129","synthetic129","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 130","SYN-ID-000130","SYN000130","synthetic130","Section A","Complete","",100,100,"A","A",,,100,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 131","SYN-ID-000131","SYN000131","synthetic131","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 132","SYN-ID-000132","SYN000132","synthetic132","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 133","SYN-ID-000133","SYN000133","synthetic133","Section A","Submitted","",31.5,31.5,"F","F",100,,,100,,2,10,,,10,10,,,,,,,,,,,,,,,10,10,
"Synthetic Student 134","SYN-ID-000134","SYN000134","synthetic134","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,,,10,,
"Synthetic Student 135","SYN-ID-000135","SYN000135","synthetic135","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 136","SYN-ID-000136","SYN000136","synthetic136","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 137","SYN-ID-000137","SYN000137","synthetic137","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 138","SYN-ID-000138","SYN000138","synthetic138","Section A","Exempt","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 139","SYN-ID-000139","SYN000139","synthetic139","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 140","SYN-ID-000140","SYN000140","synthetic140","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 141","SYN-ID-000141","SYN000141","synthetic141","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 142","SYN-ID-000142","SYN000142","synthetic142","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,,,,,10
"Synthetic Student 143","SYN-ID-000143","SYN000143","synthetic143","Section A","Exempt","",100,100,"A","A",100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 144","SYN-ID-000144","SYN000144","synthetic144","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,,10,,,,,,,,,,,,,,,
"Synthetic Student 145","SYN-ID-000145","SYN000145","synthetic145","Section A","Needs Review","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 146","SYN-ID-000146","SYN000146","synthetic146","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 147","SYN-ID-000147","SYN000147","synthetic147","Section A","Exempt","",10,10,"F","F",,,,,,,,,,,,,,,,,,,10,,,,,,10,,,
"Synthetic Student 148","SYN-ID-000148","SYN000148","synthetic148","Section A","Complete","",10,10,"F","F",,,,,,,,,,,,,,,,10,,,,,,,,,,,,
"Synthetic Student 149","SYN-ID-000149","SYN000149","synthetic149","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 150","SYN-ID-000150","SYN000150","synthetic150","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 151","SYN-ID-000151","SYN000151","synthetic151","Section A","Submitted","",32.5,32.5,"F","F",,,100,,,,,,,10,10,,,,,,,,,,,,,,,10,,
"Synthetic Student 152","SYN-ID-000152","SYN000152","synthetic152","Section A","Exempt","",10,10,"F","F",,,,,,,,,,,,,10,,,,,10,,,,,,,,10,,
"Synthetic Student 153","SYN-ID-000153","SYN000153","synthetic153","Section A","Complete","",10,10,"F","F",,,,,,,,,,,10,,,,,,,,10,,,,,,,,,
"Synthetic Student 154","SYN-ID-000154","SYN000154","synthetic154","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 155","SYN-ID-000155","SYN000155","synthetic155","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 156","SYN-ID-000156","SYN000156","synthetic156","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 157","SYN-ID-000157","SYN000157","synthetic157","Section A","Complete","",36.29,36.29,"F","F",,100,100,,,,10,,,,,10,,,,,,10,,,12,,12,,,,,
"Synthetic Student 158","SYN-ID-000158","SYN000158","synthetic158","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 159","SYN-ID-000159","SYN000159","synthetic159","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 160","SYN-ID-000160","SYN000160","synthetic160","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 161","SYN-ID-000161","SYN000161","synthetic161","Section A","Submitted","",40,40,"F","F",,100,,,,,,,,,,,,,,10,,,,,,,,,10,,,
"Synthetic Student 162","SYN-ID-000162","SYN000162","synthetic162","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 163","SYN-ID-000163","SYN000163","synthetic163","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 164","SYN-ID-000164","SYN000164","synthetic164","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 165","SYN-ID-000165","SYN000165","synthetic165","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 166","SYN-ID-000166","SYN000166","synthetic166","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 167","SYN-ID-000167","SYN000167","synthetic167","Section A","Submitted","",10,10,"F","F",,,,,,,,,,,,,,,,,,,,,,,,,,10,,
"Synthetic Student 168","SYN-ID-000168","SYN000168","synthetic168","Section A","Submitted","",10,10,"F","F",,,,,,,,,,10,,,10,,,,,,,,,,,,,10,,
"Synthetic Student 169","SYN-ID-000169","SYN000169","synthetic169","Section A","Complete","",10,10,"F","F",,,,,,,,,,,10,,,,,,,,,,,,,,,,,
"Synthetic Student 170","SYN-ID-000170","SYN000170","synthetic170","Section A","Submitted","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 171","SYN-ID-000171","SYN000171","synthetic171","Section A","Complete","",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synthetic Student 172","SYN-ID-000172","SYN000172","synthetic172","Section A","Complete","",100,100,"A","A",,,100,,,,,,,,,,,,,,,,,,,,,,,,,
